"pattern","zero","replicate","method","metrics","value","f"
"bc_pattern",10,18,"BayesCafe","ARI",0.936770129785672,0
"bc_pattern",10,18,"BayesCafe","ARI",0.936770129785672,0.5
"bc_pattern",10,18,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,18,"BayesCafe","ARI",0.968128032900095,1.5
"bc_pattern",10,18,"BayesCafe","ARI",0.936770129785672,2
"bc_pattern",10,19,"BayesCafe","ARI",1,0
"bc_pattern",10,19,"BayesCafe","ARI",1,0.5
"bc_pattern",10,19,"BayesCafe","ARI",1,1
"bc_pattern",10,19,"BayesCafe","ARI",1,1.5
"bc_pattern",10,19,"BayesCafe","ARI",0.968128032900095,2
"bc_pattern",10,20,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",10,20,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,20,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,20,"BayesCafe","ARI",0.983999746064582,1.5
"bc_pattern",10,20,"BayesCafe","ARI",0.983999746064582,2
"bc_pattern",10,21,"BayesCafe","ARI",1,0
"bc_pattern",10,21,"BayesCafe","ARI",1,0.5
"bc_pattern",10,21,"BayesCafe","ARI",1,1
"bc_pattern",10,21,"BayesCafe","ARI",1,1.5
"bc_pattern",10,21,"BayesCafe","ARI",1,2
"bc_pattern",10,22,"BayesCafe","ARI",0.968128032900095,0
"bc_pattern",10,22,"BayesCafe","ARI",1,0.5
"bc_pattern",10,22,"BayesCafe","ARI",1,1
"bc_pattern",10,22,"BayesCafe","ARI",1,1.5
"bc_pattern",10,22,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",10,23,"BayesCafe","ARI",0.968128032900095,0
"bc_pattern",10,23,"BayesCafe","ARI",1,0.5
"bc_pattern",10,23,"BayesCafe","ARI",1,1
"bc_pattern",10,23,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",10,23,"BayesCafe","ARI",1,2
"bc_pattern",10,24,"BayesCafe","ARI",1,0
"bc_pattern",10,24,"BayesCafe","ARI",1,0.5
"bc_pattern",10,24,"BayesCafe","ARI",1,1
"bc_pattern",10,24,"BayesCafe","ARI",1,1.5
"bc_pattern",10,24,"BayesCafe","ARI",1,2
"bc_pattern",10,25,"BayesCafe","ARI",0.936770064516129,0
"bc_pattern",10,25,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,25,"BayesCafe","ARI",0.952384786481345,1
"bc_pattern",10,25,"BayesCafe","ARI",0.952384786481345,1.5
"bc_pattern",10,25,"BayesCafe","ARI",0.952384884783493,2
"bc_pattern",10,26,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",10,26,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,26,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,26,"BayesCafe","ARI",1,1.5
"bc_pattern",10,26,"BayesCafe","ARI",1,2
