"data","model","mse"
"mouse_olfactory_bulb","ZINB",6.97326438848921
"mouse_olfactory_bulb","ZINB",6.91801438848921
"mouse_olfactory_bulb","ZINB",6.82572661870504
"mouse_olfactory_bulb","ZINB",6.93234532374101
"mouse_olfactory_bulb","ZINB",6.8949118705036
"mouse_olfactory_bulb","ZINB",6.93693165467626
"mouse_olfactory_bulb","ZINB",6.78393705035971
"mouse_olfactory_bulb","ZINB",6.83100179856115
"mouse_olfactory_bulb","ZINB",7.06158633093525
"mouse_olfactory_bulb","ZINB",6.91158992805755
"mouse_olfactory_bulb","ZINB",6.93517805755396
"mouse_olfactory_bulb","ZINB",6.94672302158273
"mouse_olfactory_bulb","ZINB",6.84276438848921
"mouse_olfactory_bulb","ZINB",7.04485431654676
"mouse_olfactory_bulb","ZINB",6.8921618705036
"mouse_olfactory_bulb","ZINB",6.88958992805755
"mouse_olfactory_bulb","ZINB",6.9701582733813
"mouse_olfactory_bulb","ZINB",6.98605575539568
"mouse_olfactory_bulb","ZINB",7.0050071942446
"mouse_olfactory_bulb","ZINB",7.10846043165468
"mouse_olfactory_bulb","ZINB",6.87421043165468
"mouse_olfactory_bulb","ZINB",7.0243309352518
"mouse_olfactory_bulb","ZINB",6.91328597122302
"mouse_olfactory_bulb","ZINB",6.94294424460432
"mouse_olfactory_bulb","ZINB",6.93640107913669
"mouse_olfactory_bulb","ZINB",7.01674100719424
"mouse_olfactory_bulb","ZINB",6.99660971223022
"mouse_olfactory_bulb","ZINB",7.02102517985611
"mouse_olfactory_bulb","ZINB",6.96715467625899
"mouse_olfactory_bulb","ZINB",6.88158273381295
"mouse_olfactory_bulb","ZINB",7.00819064748201
"mouse_olfactory_bulb","ZINB",6.96204496402878
"mouse_olfactory_bulb","ZINB",6.94144784172662
"mouse_olfactory_bulb","ZINB",6.93683633093525
"mouse_olfactory_bulb","ZINB",6.94862410071942
"mouse_olfactory_bulb","ZINB",6.96952158273381
"mouse_olfactory_bulb","ZINB",6.99446942446043
"mouse_olfactory_bulb","ZINB",6.9772464028777
"mouse_olfactory_bulb","ZINB",6.94839388489209
"mouse_olfactory_bulb","ZINB",7.05183273381295
"mouse_olfactory_bulb","ZINB",6.96011510791367
"mouse_olfactory_bulb","ZINB",7.01863669064748
"mouse_olfactory_bulb","ZINB",6.92227517985611
"mouse_olfactory_bulb","ZINB",6.86931474820144
"mouse_olfactory_bulb","ZINB",7.06991366906475
"mouse_olfactory_bulb","ZINB",6.91748741007194
"mouse_olfactory_bulb","ZINB",7.01723201438849
"mouse_olfactory_bulb","ZINB",6.94216007194245
"mouse_olfactory_bulb","ZINB",7.01318345323741
"mouse_olfactory_bulb","ZINB",6.91070503597122
"mouse_olfactory_bulb","ZINB",7.00013848920863
"mouse_olfactory_bulb","ZINB",6.97261510791367
"mouse_olfactory_bulb","ZINB",6.93369424460432
"mouse_olfactory_bulb","ZINB",6.97156115107914
"mouse_olfactory_bulb","ZINB",7.05763129496403
"mouse_olfactory_bulb","ZINB",6.90981294964029
"mouse_olfactory_bulb","ZINB",6.82172122302158
"mouse_olfactory_bulb","ZINB",7.006
"mouse_olfactory_bulb","ZINB",6.93142985611511
"mouse_olfactory_bulb","ZINB",6.92088309352518
"mouse_olfactory_bulb","ZINB",6.85335431654676
